split	corpus	model	fractional_polynomial_variant	balanced_accuracy_train	balanced_accuracy_test	aic
consecutive	all	I	3	0.5	0.5	1751074
consecutive	all	II	3	0.5493779491467107	0.5	1717957
consecutive	all	III	2	0.5630185151904052	0.5197849292649475	1692656
consecutive	all	IV	2	0.5641363979096604	0.5302601138290193	1691923
consecutive	bloggmix	I	3	0.5	0.5	61854
consecutive	bloggmix	II	2	0.5397017719720902	0.5	61196
consecutive	bloggmix	III	2	0.5950655613660392	0.5055032736491124	58935
consecutive	bloggmix	IV	2	0.5938539780956351	0.5032626602585235	58911
consecutive	da	I	1	0.5	0.5	8798
consecutive	da	II	2	0.5	0.5	8740
consecutive	da	III	1	0.5286083457199731	0.5412400317565702	8507
consecutive	da	IV	2	0.5246665939223324	0.5019219385688702	8504
consecutive	familjeliv	I	1	0.5	0.5	1037069
consecutive	familjeliv	II	3	0.5371361632804915	0.5	1018606
consecutive	familjeliv	III	2	0.5453158758433914	0.5004489717477534	1009353
consecutive	familjeliv	IV	2	0.5466138575390265	0.5054147963028215	1008763
consecutive	flashback	I	1	0.5	0.5	1367122
consecutive	flashback	II	3	0.5108098416488139	0.5	1355829
consecutive	flashback	III	3	0.5271724110523051	0.5023885500199664	1337357
consecutive	flashback	IV	2	0.5264128964683542	0.521564955764967	1337639
consecutive	gp	I	1	0.5	0.5	88423
consecutive	gp	II	1	0.5	0.5	88199
consecutive	gp	III	0	0.525812880240449	0.5403997759429069	80108
consecutive	gp	IV	0	0.5270860311234001	0.528263972449276	80078
consecutive	svt	I	1	0.5	0.5	95907
consecutive	svt	II	0	0.5	0.5	92420
consecutive	svt	III	2	0.5024527137312205	0.539555515077305	90742
consecutive	svt	IV	1	0.5006539937720478	0.5305918313766035	90712
consecutive	synthetic	I	3	0.5	0.5	1751074
consecutive	synthetic	II	3	0.5493779491467107	0.5	1717957
consecutive	synthetic	III	3	0.7520399407683429	0.7497128560868823	1136502
consecutive	synthetic	IV	2	0.7518577048341154	0.749589912983925	1136138
consecutive	twitter	I	1	0.5	0.5	60640
consecutive	twitter	II	1	0.5	0.5	60305
consecutive	twitter	III	1	0.5203672896231448	0.499935283458452	58494
consecutive	twitter	IV	0	0.520698095639831	0.5025039880773778	58502
non_consecutive	all	I	0	0.5	0.5	1923595
non_consecutive	all	II	3	0.5401625047773754	0.5404285593548305	1894003
non_consecutive	all	III	3	0.5533022203625875	0.5534263640975566	1865198
non_consecutive	all	IV	2	0.554700333581224	0.5546461746097512	1865151
non_consecutive	bloggmix	I	1	0.5	0.5	65530
non_consecutive	bloggmix	II	3	0.5495744832048596	0.5486075744829476	64731
non_consecutive	bloggmix	III	3	0.5884569972301441	0.5933895505171528	62538
non_consecutive	bloggmix	IV	2	0.5787098595812594	0.5807740013076947	62773
non_consecutive	da	I	0	0.5	0.5	9139
non_consecutive	da	II	2	0.5	0.5	9077
non_consecutive	da	III	2	0.5285894206549119	0.5346641456049188	8822
non_consecutive	da	IV	2	0.5279659949622166	0.5262793481513726	8823
non_consecutive	familjeliv	I	0	0.5	0.5	1069394
non_consecutive	familjeliv	II	3	0.5310583672341039	0.5316073754509637	1050832
non_consecutive	familjeliv	III	2	0.5388376991402751	0.5401559035282033	1040948
non_consecutive	familjeliv	IV	2	0.5397018738753477	0.5406178845270757	1040364
non_consecutive	flashback	I	3	0.5	0.5	1415889
non_consecutive	flashback	II	3	0.5092584896018162	0.5086617259046331	1404675
non_consecutive	flashback	III	3	0.522592240338143	0.5214791943680159	1386490
non_consecutive	flashback	IV	2	0.5200377346584105	0.5192003015311425	1387759
non_consecutive	gp	I	2	0.5	0.5	103166
non_consecutive	gp	II	3	0.5	0.5	101384
non_consecutive	gp	III	0	0.5346789435723855	0.5348171177533436	93603
non_consecutive	gp	IV	0	0.5314074724151767	0.5324284317898016	93415
non_consecutive	svt	I	2	0.5	0.5	104026
non_consecutive	svt	II	3	0.5	0.5	99210
non_consecutive	svt	III	0	0.5140894114134777	0.515981610400512	97380
non_consecutive	svt	IV	0	0.512707323741441	0.5142347711438837	97362
non_consecutive	synthetic	I	2	0.5	0.5	1923595
non_consecutive	synthetic	II	3	0.5401625047773754	0.5404285593548305	1894003
non_consecutive	synthetic	III	3	0.7517385482743728	0.7510049480323203	1246304
non_consecutive	synthetic	IV	2	0.7509915774096932	0.7502959095296746	1246269
non_consecutive	twitter	I	2	0.5	0.5	60873
non_consecutive	twitter	II	2	0.5	0.5	60620
non_consecutive	twitter	III	2	0.5191409047319505	0.5217790839304878	58857
non_consecutive	twitter	IV	2	0.5221099359395098	0.5241241705451265	58877
